ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año_Declaracion,Bienes_Inmuebles_Valor,Bienes_Muebles_Valor,Activos_Financieros_Valor,Pasivos_Valor,Ingresos_Anuales,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Thiago Nahuel Lopez,Secretario,Gonzalez Inc,2023,688207.3214471947,364619.21350965026,296228.13514629554,59777.140026160625,56938.30798187932,5.628330778359786,0
2,Olivia Suarez,Asesor,Sanchez PLC,2021,1456846.3063009519,302149.9907225602,252168.7341777285,34020.65502711871,175570.0945765872,39.08970781605509,0
3,Dr(a). Juana Bravo,Ministro,Gomez-Diaz,2024,441604.8333727953,248340.12603575588,4503.034213220713,17659.315133153552,130608.82371864896,40.571260525907206,0
4,Martin Romero Cabrera,Ministro,Medina-Garcia,2024,1019198.7247117532,471576.18217778933,135855.78625993984,90547.2310580013,174471.6455414652,10.932212320812123,0
5,Lautaro Gabriel Ruiz Velazquez,Secretario,Bustos Ltd,2024,837924.1566059194,438847.89806024125,23485.607096942862,86808.00042129254,127848.41633855602,-6.6647238242173525,0
6,Benjamin Ortiz,Secretario,Mendoza-Gutierrez,2020,658365.7840027915,112922.41732318747,142357.78683624853,6413.226624707647,98401.3926671537,10.90784036646038,0
7,Alexander Sebastian Mendoza Ponce,Director,Castillo-Chavez,2021,1015849.6942311726,258430.96477974547,265004.9677452291,5251.480355830118,172369.5170666047,19.901135959290148,0
8,Dr(a). Agustín Diaz,Director,Sanchez-Campos,2023,481249.03528809425,93890.04756785247,41017.02943201129,39344.29701011003,182408.18962872995,34.04776759146162,0
9,Dr(a). Santiago Benjamin Gomez,Director,"Gonzalez, Romero and Ramos",2024,677343.6728302657,39172.88202079394,195609.07515809234,88778.51576430348,150068.87333031953,-4.968295263553576,0
10,Juan Bautista Guzman Garcia,Secretario,Luna-Farias,2020,1393894.2023782907,383717.8014895615,131510.095442451,47552.84010816484,52241.85182277523,33.61543580665797,0
11,Emilia Torres Rivero,Ministro,Morales Group,2020,1109659.6114103822,430983.8881888456,199346.48931754072,59211.436906997194,104900.88445108748,38.22509539223435,0
12,Franco Ortiz,Asesor,Pereyra-Juarez,2024,812472.2545729396,215835.33823103717,148458.4064185243,28837.028448408964,57263.46057524963,1.1745013792276826,0
