ID_Caso,Fecha_Inicio,Tipo_Causa,Estado_Actual,Juzgado,Partes,Materia,Fecha_Ultima_Movimiento,Tiempo_Proceso_Dias,Fallo,Instancia,Tiene_Recurso,Documentos_Adjuntos
1,2021-07-19,Laboral,Ejecución,Juzgado 8 de Córdoba,Valentino Martina Ferreyra Dominguez vs. Joaquin Dylan Castro Gutierrez,Daños y Perjuicios,2024-12-01,301,Conciliación,Cámara de Apelaciones,Sí,11
2,2021-04-20,Civil,Apelación,Juzgado 5 de Posadas,Catalina Rodriguez Figueroa vs. Guadalupe Catalina Fernandez,Quiebra,2024-06-04,336,Conciliación,Primera Instancia,Sí,40
3,2022-01-24,Comercial,Ejecución,Juzgado 13 de Posadas,Emilia Rodriguez vs. Malena Rios,Despido,2024-11-01,958,Conciliación,Primera Instancia,No,21
4,2025-02-18,Civil,Ejecución,Juzgado 8 de La Rioja,Constantino Juarez Mansilla vs. Martina Aguirre,Daños y Perjuicios,2022-04-30,186,Favorable,Cámara de Apelaciones,No,8
5,2020-09-06,Civil,Apelación,Juzgado 12 de Córdoba,Dr(a). Agustin Garcia vs. Josefina Lautaro Moreno Diaz,Robo,2022-11-02,333,Favorable,Cámara de Apelaciones,No,2
6,2022-08-13,Laboral,En Curso,Juzgado 10 de Viedma,Juan Cruz Luna Dominguez vs. Felipe Avila Castro,Robo,2022-09-11,1163,Sin Definir,Corte Suprema,No,39
7,2020-10-17,Penal,Apelación,Juzgado 9 de San Ferando del Valle de Catamarca,Pedro Angel Gabriel Sanchez Gonzalez vs. Benjamin Thiago Benjamin Diaz,Quiebra,2023-12-17,409,Sin Definir,Cámara de Apelaciones,No,43
8,2025-01-19,Penal,En Curso,Juzgado 6 de Bahía Blanca,Alma Martinez vs. Camila Bravo,Daños y Perjuicios,2024-09-04,1711,Sin Definir,Corte Suprema,Sí,28
9,2022-11-02,Civil,Pendiente de Juicio,Juzgado 8 de Chilecito,Dr(a). Luisana Gomez vs. Lisandro Juan Cruz Martinez,Quiebra,2023-05-24,968,Desfavorable,Primera Instancia,Sí,40
10,2024-09-28,Civil,Pendiente de Juicio,Juzgado 11 de San Luis,Dr(a). Juan Bautista Medina vs. Francisco Ian Benjamin Ferreyra,Daños y Perjuicios,2023-11-07,672,Sin Definir,Primera Instancia,No,34
11,2024-12-10,Laboral,Ejecución,Juzgado 5 de Santiago del Estero,Dr(a). Vicente Paz vs. Dr(a). Luca Fernandez,Robo,2024-11-03,536,Sin Definir,Primera Instancia,Sí,41
12,2022-01-27,Comercial,Apelación,Juzgado 20 de Mendoza,Felipe Santino Romero vs. Thiago Nicolas Peralta Peralta,Despido,2023-11-18,856,Conciliación,Cámara de Apelaciones,Sí,32
13,2021-09-06,Comercial,Pendiente de Juicio,Juzgado 17 de Mar del Plata,Thiago Daniel Villalba vs. Dr(a). Catalina Muñoz,Quiebra,2024-10-17,1666,Conciliación,Primera Instancia,Sí,27
14,2025-03-19,Comercial,Pendiente de Juicio,Juzgado 14 de Rosario,Maximo Mateo Paz vs. Alfonsina Toledo,Quiebra,2023-05-17,1248,Desfavorable,Corte Suprema,No,44
