Tipo,Descripcion,Monto,Fecha,Estado,Nombre
Transacción Bancaria,Transferencia inusual a cuenta desconocida,426.53,2024-08-14,Pendiente,Maximiliano Martinez Castro
Transacción Bancaria,Transferencia inusual a cuenta desconocida,63.86,2025-03-14,Aprobado,Emma Bautista Ramirez Gomez
Denuncia de Corrupción,Denuncia de soborno a funcionario público,18.66,2024-09-28,Rechazado,Dr(a). Alvaro Sanchez
Denuncia de Corrupción,Compra sospechosa online,205.5,2024-06-01,Rechazado,Thiago Agustin Juan Pablo Guzman Molina
Transacción Bancaria,Denuncia de soborno a funcionario público,418.84,2024-11-30,Pendiente,Lola Perez Cabrera
Denuncia de Corrupción,Retiro de gran cantidad en efectivo,473.55,2024-04-27,Rechazado,Francisca Geronimo Garcia
Transacción Bancaria,Retiro de gran cantidad en efectivo,691.77,2024-08-06,Pendiente,Josefina Ignacio Garcia
Transacción Bancaria,Denuncia de soborno a funcionario público,323.01,2024-10-17,Pendiente,Rafael Alvarez
Transacción Bancaria,Retiro de gran cantidad en efectivo,460.28,2024-04-30,Pendiente,Dr(a). Bautista Godoy
Denuncia de Corrupción,Denuncia de soborno a funcionario público,995.65,2024-11-07,Rechazado,Emanuel Mendez
Transacción Bancaria,Transferencia inusual a cuenta desconocida,857.94,2024-09-14,Pendiente,Lautaro Nahuel Ezequiel Gomez
Denuncia de Corrupción,Transferencia a paraíso fiscal,993.08,2025-01-17,Aprobado,Lucas Martin Cabrera
Transacción Bancaria,Compra sospechosa online,727.99,2024-08-22,Rechazado,Ramiro Vera Pereyra
Transacción Bancaria,Compra sospechosa online,610.17,2025-01-28,Rechazado,Morena Moreno
Transacción Bancaria,Transferencia a paraíso fiscal,226.07,2024-05-19,Pendiente,Dr(a). Bautista Castro
Transacción Bancaria,Compra sospechosa online,679.08,2024-09-25,Rechazado,Thiago Nicolas Ledesma
Transacción Bancaria,Transferencia inusual a cuenta desconocida,53.49,2025-02-07,Aprobado,Tomas Leiva
Transacción Bancaria,Transferencia a paraíso fiscal,541.94,2024-08-04,Aprobado,Thiago Nahuel Alma Rodriguez
Transacción Bancaria,Denuncia de malversación de fondos,696.96,2024-12-18,Aprobado,Agustina Ojeda
Transacción Bancaria,Retiro de gran cantidad en efectivo,643.16,2024-06-10,Pendiente,Malena Thiago Diaz
Denuncia de Corrupción,Transferencia a paraíso fiscal,169.32,2025-01-28,Rechazado,Santino Agustin Francisco Gomez
Transacción Bancaria,Compra sospechosa online,365.39,2024-04-20,Pendiente,Ana Paula Lucía Alvarez
Transacción Bancaria,Denuncia de soborno a funcionario público,56.95,2025-02-07,Aprobado,Sr(a). Juan Bautista Ponce
Transacción Bancaria,Compra sospechosa online,280.12,2024-07-12,Pendiente,Ramiro Ignacio Gonzalez
Denuncia de Corrupción,Transferencia a paraíso fiscal,984.17,2024-11-11,Pendiente,Lucas Figueroa Gimenez
Denuncia de Corrupción,Transferencia a paraíso fiscal,585.89,2024-12-22,Aprobado,Sr(a). Juan Cruz Arias
Transacción Bancaria,Compra sospechosa online,692.06,2024-12-06,Pendiente,Martina Gomez
Denuncia de Corrupción,Denuncia de malversación de fondos,423.08,2025-03-14,Rechazado,Alejo Paez Rodriguez
Denuncia de Corrupción,Transferencia a paraíso fiscal,162.19,2024-11-06,Pendiente,Martina Felicitas Garcia Cordoba
Denuncia de Corrupción,Compra sospechosa online,977.56,2024-04-23,Aprobado,Luz Milagros Tiziano Valentin Cordoba
