ID_Transaccion,Fecha_Hora,ID_Tarjeta,Monto,Comercio,Ubicacion_Comercio,Tipo_Transaccion,Pais_IP,Es_Fraudulenta
1,2025-03-12 19:04:04.845502,CC-8906558760,910.0129758425468,Perez and Sons,"Paraná, Tonga",Compra,Islas Salomón,0
2,2025-02-17 19:10:45.233026,CC-3108808732,839.7774454422548,Guzman-Romero,"Río Gallegos, Argelia",Compra,Líbano,0
3,2025-02-01 21:01:10.327922,CC-2985006719,806.2356361330106,"Ledesma, Herrera and Vera","Posadas, Rwanda",Pago,Ecuador,0
4,2025-01-09 12:31:23.821432,CC-3942627641,806.087457312327,Fernandez PLC,"La Rioja, Singapur",Pago,Mauritania,0
5,2025-02-27 15:31:00.994554,CC-6487952914,664.4624340419454,Garcia Inc,"Comodoro Rivadavia, India",Retiro,Mongolia,0
6,2025-01-01 14:53:59.966403,CC-6586536390,765.8564623008604,Romero-Gomez,"San Luis, República Centroafricana",Pago,Eritrea,0
7,2025-03-20 01:29:34.558633,CC-6836066930,610.3197927107046,Rodriguez-Juarez,"Córdoba, Dinamarca",Compra,República de Moldova,0
8,2025-01-29 11:57:59.978199,CC-1008141876,374.2724700806656,"Martinez, Silva and Correa","Ushuaia, Tayikistán",Retiro,Omán,0
9,2025-01-22 17:18:12.018647,CC-6176588578,257.9605527044193,"Silva, Gomez and Sanchez","Rawson, Ucrania",Retiro,Gabón,0
10,2025-02-20 15:09:29.220644,CC-3221494643,528.3422285629719,"Luna, Lopez and Sanchez","Formosa, Hungría",Pago,Burkina Faso,0
11,2025-01-06 18:15:36.479656,CC-4392013159,753.6865791347036,"Molina, Martinez and Lopez","Rawson, India",Compra,Rwanda,0
12,2025-01-04 15:07:36.423579,CC-7624752052,481.3404167117037,Olivera Ltd,"Ushuaia, Croacia",Pago,Camboya,0
13,2025-01-04 09:40:15.194798,CC-1750057567,140.45758674308092,"Ramirez, Suarez and Rivero","Posadas, China",Retiro,Liechtenstein,0
14,2025-03-05 11:10:46.168393,CC-7356258862,584.5038033967459,"Gomez, Herrera and Alvarez","San Ferando del Valle de Catamarca, República Democrática Popular Lao",Compra,Barbados,0
15,2025-01-13 13:24:12.928191,CC-2327889666,400.89204057935996,Medina-Castillo,"La Rioja, República Unida de Tanzanía",Pago,Gabón,0
16,2025-01-23 20:02:06.163665,CC-6752342391,844.0278860305004,"Ortiz, Martinez and Caceres","Formosa, Cuba",Pago,Polonia,0
17,2025-01-28 22:29:16.214961,CC-8747651982,607.4094334972434,Gomez-Martinez,"Resistencia, Santo Tomé y Príncipe",Compra,Marruecos,0
18,2025-01-18 09:25:00.825852,CC-5167187866,561.9746546696942,Diaz Ltd,"Comodoro Rivadavia, Sudán del Sur",Compra,Gabón,0
19,2025-01-29 11:08:57.059983,CC-2967558883,134.62298222334172,"Gonzalez, Paz and Lopez","Santiago del Estero, Malawi",Pago,Angola,0
20,2025-01-15 21:34:03.825240,CC-7415699556,80.47054096508424,Romero-Arias,"Río Gallegos, Uganda",Compra,Austria,0
21,2025-02-07 20:26:59.664578,CC-8381075398,826.0712790446435,Gimenez LLC,"Santiago del Estero, Uganda",Retiro,Honduras,0
