ID_Rendicion,Fecha_Presentacion,Empleado,Departamento,Tipo_Gasto,Descripcion,Monto,Justificante_Adjunto,Estado_Aprobacion,Es_Sospechoso
1,2024-07-15,Dr(a). Olivia Gonzalez,Ventas,Viáticos,Laborum fugit voluptatum nobis quasi quibusdam.,96.36486235129641,No,Rechazado,1
2,2025-02-10,Juana Romero,Compras,Viáticos,Et occaecati optio velit.,131.7368904390163,No,Rechazado,1
3,2025-04-05,Thiago Agustin Diaz,RRHH,Transporte,Inventore ab qui vero fuga exercitationem.,304.256288411406,No,Rechazado,1
4,2025-03-18,Constanza Gomez Escobar,Marketing,Transporte,Repudiandae consequatur vero aperiam.,359.5378779317402,No,Pendiente,0
5,2024-07-03,Martina Fernandez,Finanzas,Transporte,Repudiandae occaecati aut ullam facere nostrum.,29.1834635431596,No,Rechazado,1
6,2024-10-18,Dr(a). Federico Rojas,Finanzas,Transporte,Error eligendi provident esse at.,198.1020843937574,Sí,Rechazado,0
7,2024-08-30,Juan Ignacio Torres Moreno,RRHH,Otros,Voluptate repudiandae nam nisi.,203.0218640662147,No,Aprobado,0
8,2024-12-29,Guillermina Ferreyra Moyano,Compras,Viáticos,Illo aliquid sed et.,95.1431395043548,Sí,Rechazado,0
9,2024-12-17,Jazmín Alvarez Herrera,Compras,Almuerzo,Cum assumenda vero reiciendis.,74.60235603998878,Sí,Pendiente,0
10,2025-03-20,Luna Gimenez,Finanzas,Material de Oficina,Illum repellendus in eius odit aliquam.,168.87472532476505,No,Pendiente,0
11,2025-04-02,Augusto Ramirez Gomez,Marketing,Otros,Sequi veritatis sed. Et odit modi.,401.84346249349943,Sí,Rechazado,0
12,2025-01-04,Jeremias Federico Valdez,RRHH,Otros,Numquam animi possimus dolorem doloremque.,20.06237166643865,No,Aprobado,0
13,2024-11-15,Lautaro Benjamin Garcia Navarro,Ventas,Otros,Velit nemo excepturi at.,305.09567185245555,No,Aprobado,0
14,2024-07-14,Federico Martina Sosa Fernandez,Marketing,Material de Oficina,Suscipit magnam possimus rerum.,230.18090719183826,Sí,Pendiente,0
15,2025-03-27,Mia Valentina Ortiz,Compras,Otros,Officiis nostrum maiores nam aut vero.,274.92802687139687,Parcial,Rechazado,0
16,2024-06-19,Isabella Facundo Juarez,Marketing,Material de Oficina,Labore veniam aliquam voluptatibus.,135.79431155739323,Parcial,Rechazado,0
17,2025-03-24,Felipe Gomez Escobar,Finanzas,Transporte,Suscipit tempora autem unde vitae vel.,62.31794533357397,Parcial,Pendiente,0
18,2024-06-03,Alma Ledesma,RRHH,Almuerzo,Nesciunt corporis quae aut.,198.17482941762177,No,Aprobado,0
19,2024-07-20,Benjamin Cabrera,RRHH,Viáticos,Expedita veniam quisquam laborum.,183.0435330986786,No,Aprobado,0
20,2024-10-10,Tiziano Milagros Acuña,Compras,Viáticos,Totam modi dignissimos.,315.14532657070396,Parcial,Pendiente,0
21,2025-02-17,Valentina  Luciano Mendez Gonzalez,RRHH,Material de Oficina,Fugit est repellat sequi eius.,170.45364668323745,Sí,Rechazado,0
22,2025-01-22,Santiago Lucas Paz,RRHH,Transporte,Quae praesentium nam perferendis odio officia.,101.51051619067819,No,Rechazado,1
23,2024-07-10,Dylan Ezequiel Santiago Nicolas Diaz,Marketing,Viáticos,Iusto illum voluptatem illum.,499.3800256003817,No,Aprobado,0
24,2024-09-05,Thiago Gabriel Flores,Compras,Almuerzo,Iste aut architecto.,150.68007150929452,Parcial,Pendiente,0
25,2024-07-18,Catalina Maria Emilia Rodriguez Rivero,Marketing,Almuerzo,Officia ipsa dolorum vero cumque minima omnis.,201.41538133027487,Sí,Rechazado,0
26,2025-01-06,Malena Cardozo Fernandez,Compras,Viáticos,Deserunt architecto quisquam doloribus fuga.,392.0652874719136,Sí,Rechazado,0
27,2025-01-13,Benjamin Navarro Ramirez,RRHH,Almuerzo,Perspiciatis cum repellendus.,12.500028387492168,Sí,Pendiente,0
28,2024-07-31,Santino Gabriel Lucía  Morales Garcia,Finanzas,Otros,Fugit excepturi temporibus repellendus.,293.9526061760851,No,Rechazado,1
29,2024-07-21,Lucio Juarez,Compras,Transporte,Beatae ipsam commodi assumenda nobis neque.,217.31731455281258,No,Pendiente,0
30,2024-10-15,Sr(a). Mia Morena Castillo,Compras,Viáticos,Rerum nesciunt nesciunt illum pariatur.,78.53984833661518,No,Rechazado,1
