ID_Rendicion,Fecha_Presentacion,Empleado,Departamento,Tipo_Gasto,Descripcion,Monto,Justificante_Adjunto,Estado_Aprobacion,Es_Sospechoso
1,2024-10-07,Dr(a). Felipe Farias,Marketing,Transporte,Nobis fugit accusamus qui distinctio alias odio.,296.34725087616215,No,Rechazado,0
2,2024-12-23,Lorenzo Gino Gonzalez,Finanzas,Almuerzo,Iure harum consectetur animi aliquam quis neque.,180.11245971483393,Sí,Aprobado,0
3,2025-01-13,Alejo Torres,Ventas,Viáticos,Nam magni repellat harum tempore.,329.55378946413083,Sí,Aprobado,0
4,2024-07-05,Matilda Bustos,Ventas,Transporte,Ea vero aut.,225.69033018317228,Sí,Rechazado,0
5,2025-02-09,Thiago Ezequiel Soria,Ventas,Almuerzo,Architecto esse provident sequi non perferendis.,310.19625591551056,Sí,Rechazado,0
6,2025-02-27,Sr(a). Bautista Cruz,Compras,Transporte,Eligendi dolor qui. Tempora quasi fugit.,46.119377308761294,No,Rechazado,0
7,2024-05-28,Thiago Benjamin Tomàs Sanchez,Marketing,Transporte,Eligendi debitis magni.,205.27188409944344,Sí,Rechazado,0
8,2024-04-17,Lorenzo Blanco Silva,RRHH,Otros,Aliquid dignissimos voluptates quam.,166.2392804689003,Sí,Aprobado,0
9,2025-03-07,Bautista Avila,RRHH,Viáticos,Sequi nulla ex blanditiis tempora.,307.8351889755432,Sí,Aprobado,0
10,2024-11-30,Victoria Romero Cordoba,RRHH,Viáticos,Minus illo pariatur sunt facilis vitae.,39.89176502947704,Sí,Rechazado,0
11,2024-09-25,Delfina Benjamin Toledo Alvarez,Ventas,Material de Oficina,Similique soluta quam id in.,123.59720906795495,Sí,Aprobado,0
12,2024-04-21,Martina Villalba Cabrera,Finanzas,Almuerzo,Cum odio quo neque repellendus similique sit.,186.70627823459336,Sí,Rechazado,0
13,2024-07-16,Dr(a). Ana Paula Alvarez,Compras,Almuerzo,Itaque tempore necessitatibus tempora iusto rem.,101.38424578305354,Sí,Pendiente,0
14,2024-09-01,Sr(a). Mia Valentina Lopez,RRHH,Otros,Itaque perspiciatis distinctio explicabo.,270.01571515514985,Sí,Aprobado,0
15,2024-06-21,Lucia Cardozo,Compras,Almuerzo,Aut earum officia ipsa necessitatibus optio.,144.3832879493638,Sí,Pendiente,0
16,2024-07-30,Bautista Ian Benjamin Gonzalez,RRHH,Otros,Aliquam nobis vitae similique.,251.97669736483095,No,Aprobado,0
17,2024-10-12,Alma Mia Nicolas Torres Rios,RRHH,Almuerzo,Tempora atque earum voluptas commodi a alias.,219.48968352152596,No,Pendiente,0
18,2024-07-19,Julia Juan Ignacio Escobar Chavez,RRHH,Almuerzo,Amet sunt laudantium.,109.36446455482832,Sí,Rechazado,0
19,2024-09-28,Lucia Herrera,Marketing,Almuerzo,Similique quibusdam maiores numquam accusantium.,28.080963062376938,No,Aprobado,0
20,2024-09-12,Francisca Perez Barrios,Ventas,Transporte,Nisi id ab esse velit.,180.9524347072395,Sí,Rechazado,0
21,2024-10-18,Tiziano Ojeda,Compras,Otros,Consequatur eveniet rem maxime laudantium.,446.2001302955897,Sí,Rechazado,0
22,2024-11-22,Alma Lopez,RRHH,Material de Oficina,Magnam tempore explicabo dolorem.,431.4084131012737,Sí,Rechazado,0
23,2025-03-02,Jazmin Gomez,Ventas,Material de Oficina,Magnam delectus et molestiae.,497.2853492619229,Sí,Rechazado,0
24,2025-02-06,Sr(a). Paulina Gonzalez,Compras,Otros,Nisi fuga quia molestiae architecto sequi.,375.2073674947804,Sí,Rechazado,0
25,2025-01-26,Constanza Gutierrez,RRHH,Material de Oficina,Vel in tempore architecto.,466.85876752839556,Sí,Aprobado,0
26,2025-01-17,Tiziano Catalina Aguero,Ventas,Viáticos,Sunt unde ad eum laborum odit. Fuga nobis quos.,408.7910253930227,Sí,Aprobado,0
27,2024-10-31,Giuliana Juan Bautista Figueroa Ledesma,Compras,Otros,Ipsum quam aliquam nulla distinctio at facere.,378.9217540335813,No,Pendiente,0
