ID_Rendicion,Fecha_Presentacion,Empleado,Departamento,Tipo_Gasto,Descripcion,Monto,Justificante_Adjunto,Estado_Aprobacion,Es_Sospechoso
1,2025-02-09,Morena Leiva Ramirez,Ventas,Transporte,otros,141.57132443639009,Sí,Rechazado,1
2,2024-11-25,Dr(a). Genaro Silva,Marketing,Transporte,viaticos,11.576738461250223,Sí,Rechazado,1
3,2025-03-26,Mateo Joaquin Milagros Chavez Gomez,Compras,Transporte,otros,357.9355310455054,No,Pendiente,0
4,2024-06-07,Delfina Herrera,Marketing,Viáticos,viaticos,210.24262145845367,Sí,Pendiente,0
5,2025-04-02,Alejo Nicolas Alvarez Avila,Finanzas,Otros,gastos_comida,47.91595494574924,Sí,Rechazado,1
6,2024-05-08,Benjamin Emma Maidana Sanchez,Finanzas,Material de Oficina,otros,426.6795792968361,Sí,Aprobado,0
7,2024-04-23,Augusto Acosta,Finanzas,Almuerzo,otros,440.29374838646856,Sí,Aprobado,0
8,2024-12-01,Dante Renata Mendoza,Ventas,Otros,viaticos,188.1914478493828,Sí,Rechazado,1
9,2025-02-23,Constanza Felicitas Castro,Compras,Otros,gastos_comida,59.559354431622424,Sí,Pendiente,0
10,2024-12-25,Dr(a). Catalina Perez,Ventas,Almuerzo,gastos_generales,212.0151414417104,Sí,Aprobado,0
11,2024-09-15,Dr(a). Martina Ayala,Compras,Transporte,gastos_comida,102.70582006127657,Sí,Aprobado,0
12,2025-03-18,Sr(a). Joaquín Franco,Ventas,Viáticos,viaticos,82.94419530815375,Sí,Aprobado,0
13,2025-03-14,Emilia Joaquín Rodriguez Silva,Ventas,Almuerzo,viaticos,404.4530051024851,No,Aprobado,0
14,2025-01-20,Angel Gabriel Valentina  Carrizo Gonzalez,Ventas,Almuerzo,gastos_comida,251.10778543574745,Sí,Pendiente,0
15,2024-09-03,Lola Ramirez,Compras,Viáticos,gastos_comida,278.7921480985358,Sí,Aprobado,0
16,2024-12-05,Alvaro Cruz Acosta,Compras,Viáticos,gastos_generales,264.2750307225427,Sí,Pendiente,0
17,2024-10-22,Isabel Dominguez Romero,Ventas,Viáticos,gastos_generales,397.4508029442907,Sí,Pendiente,0
18,2025-01-07,Dr(a). Faustino Torres,Ventas,Almuerzo,otros,57.04922052783557,Sí,Aprobado,0
19,2024-04-12,Victoria Enzo Flores Vera,Finanzas,Viáticos,gastos_generales,281.89723952683073,Sí,Rechazado,1
20,2025-01-14,Paloma Lautaro Benjamin Suarez Alvarez,Finanzas,Viáticos,gastos_generales,465.09833230149485,Sí,Rechazado,1
21,2024-06-14,Dylan Ezequiel Peralta Gonzalez,Finanzas,Material de Oficina,viaticos,204.21048989101607,Sí,Pendiente,0
22,2024-05-20,Juan Cruz Nuñez,Marketing,Material de Oficina,viaticos,487.05553972122294,Sí,Rechazado,1
23,2024-05-14,Rafael Guadalupe Medina Blanco,Marketing,Transporte,otros,184.05352662410704,Sí,Rechazado,1
24,2024-08-22,Miguel Angel Paulina Acosta Gonzalez,RRHH,Transporte,viaticos,498.64869825788713,Sí,Pendiente,0
25,2024-07-06,Matias Garcia Gonzalez,Finanzas,Viáticos,gastos_comida,59.25665186983895,No,Rechazado,1
26,2024-09-11,Emma Juan Cruz Perez Ramirez,Marketing,Viáticos,viaticos,481.0580649010056,Sí,Aprobado,0
27,2024-06-27,Bautista Benjamin Francisco Gomez,Finanzas,Material de Oficina,gastos_comida,49.60539957288333,Sí,Aprobado,0
28,2024-07-13,Dr(a). Delfina Fernandez,Marketing,Almuerzo,viaticos,142.78602358877396,Sí,Pendiente,0
29,2024-05-26,Sr(a). Paloma Diaz,Marketing,Material de Oficina,gastos_comida,127.75261561910862,Sí,Rechazado,1
30,2025-03-26,Felipe Paz,RRHH,Material de Oficina,viaticos,381.28521176054835,No,Pendiente,0
