ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año,Bienes_Inmuebles,Bienes_Muebles,Activos_Financieros,Pasivos,Ingresos,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Milagros Ian Gomez Lopez,Secretario,"Gomez, Vega and Torres",2022,536636.7557803852,185620.05461166953,77608.97706625011,27596.542228629914,169542.9857161437,0.11519689043356188,0
1,Milagros Ian Gomez Lopez,Secretario,"Gomez, Vega and Torres",2023,431153.9271780133,203305.25521464975,22813.019817219003,50841.71885868481,119136.2220532694,0.13995426575154588,0
2,Sr(a). Juan Manuel Rojas,Ministro,Alvarez-Campos,2022,137833.45477805304,111045.02175933018,30668.09630741965,45486.153236284554,96346.0627347299,0.09915321635520213,0
2,Sr(a). Juan Manuel Rojas,Ministro,Alvarez-Campos,2023,642252.6086938631,235379.90350362015,248445.81454264454,5774.276221163425,50126.646837951055,-0.09781792694105368,0
3,Dr(a). Tomàs Gomez,Director,Castillo-Benitez,2022,769506.3234683276,237434.52556080214,25418.358902608463,54336.03546599056,98244.62627327789,-0.01841182659481916,0
3,Dr(a). Tomàs Gomez,Director,Castillo-Benitez,2023,459399.5538848721,196434.02415117252,204736.1127704193,71468.7922377336,145631.35341503995,0.08059650569099805,0
4,Juan Ignacio Tomàs Navarro Sosa,Director,"Moyano, Medina and Torres",2022,812018.6910408319,278051.60400328995,16262.279379988975,67896.25546671235,137082.86511140421,0.018001929429588337,0
4,Juan Ignacio Tomàs Navarro Sosa,Director,"Moyano, Medina and Torres",2023,1025137.67311127,330043.57609092747,51457.343233176216,28464.273524580425,77453.5228696298,-0.09996156337906972,0
5,Mateo Valentin Coronel Rodriguez,Asesor,Gimenez-Ramirez,2022,477536.0341897478,292177.91260233754,103683.97915074293,45571.78273799091,130132.33735968577,-0.04716112527239966,0
5,Mateo Valentin Coronel Rodriguez,Asesor,Gimenez-Ramirez,2023,1196614.9798178251,109364.82612980324,115074.77307822234,45652.80930949963,97724.63330325365,-0.03725410768114078,0
6,Thiago Ezequiel Benjamin Miranda,Ministro,"Sosa, Torres and Alvarez",2022,749065.5965389959,159726.55688981968,104831.73855754541,28861.960444939923,65730.78848773,0.034103186917721184,0
6,Thiago Ezequiel Benjamin Miranda,Ministro,"Sosa, Torres and Alvarez",2023,434767.5850969951,227311.40974704042,129361.26212800364,2949.3235440678945,322572.65328106435,0.46754963842040465,0
7,Luisana Valentin Caceres,Director,Rojas-Medina,2022,1171825.789259609,155424.0294677668,20288.263118436676,65430.567557486305,63014.60898264126,-0.06493787647625608,0
7,Luisana Valentin Caceres,Director,Rojas-Medina,2023,56454.58983164886,134350.94582591957,112244.6630716804,1633.2899115170908,72575.08015262437,0.1989172391387485,0
8,Bautista Perez Rivero,Secretario,Arias-Garcia,2022,747019.5530693554,307922.20068525954,3846.383701027356,23801.82969445035,101858.20173373706,-0.09656128564572893,0
8,Bautista Perez Rivero,Secretario,Arias-Garcia,2023,924309.5412387823,950.0045388198153,188313.64725540433,47064.741573198764,155485.6212640903,0.027068563567204246,0
