ID_Transaccion,Fecha_Hora,ID_Tarjeta,Monto,Comercio,Tipo_Transaccion,Pais_IP,Es_Fraudulenta
1,2025-03-19 13:24:55.383597,CC-8007016345,37065.92,"Rivero, Flores and Romero",Retiro,Ghana,1
2,2025-01-28 06:48:43.385236,CC-3886223118,10338.03,Martinez Inc,Compra,Islas Salomón,1
3,2025-03-07 17:58:16.386376,CC-3601999426,26387.91,Ramos PLC,Retiro,República Unida de Tanzanía,1
4,2025-02-01 09:13:56.181883,CC-5428647779,29894.66,Aguero Ltd,Retiro,Islas Marshall,1
5,2025-03-20 22:08:22.027660,CC-8493589605,36445.24,"Nuñez, Maldonado and Caceres",Pago,Armenia,1
6,2025-03-10 17:37:35.405151,CC-7429322756,42250.42,Romero-Ferreyra,Pago,Kirguistán,1
7,2025-02-25 23:42:54.869014,CC-2353349077,11925.99,Martinez-Diaz,Pago,Polonia,1
8,2025-01-28 11:13:27.641367,CC-5215912235,39782.92,"Lucero, Quiroga and Acosta",Pago,Kenya,1
9,2025-03-25 15:22:59.975543,CC-5317291405,39125.48,Torres Group,Pago,Turquía,1
10,2025-03-26 00:29:04.881719,CC-8201625486,10436.61,"Chavez, Carrizo and Gomez",Retiro,Angola,1
11,2025-04-03 11:01:58.930744,CC-1592813891,17625.26,"Mendoza, Gimenez and Diaz",Pago,República Checa,1
12,2025-04-03 13:16:13.281558,CC-1171620185,25021.29,Cabrera-Barrios,Compra,Omán,1
13,2025-01-02 10:45:51.019262,CC-1725835803,35947.66,Martinez and Sons,Pago,Iraq,1
14,2025-02-20 15:01:41.293981,CC-8282535415,30872.78,Martinez Inc,Compra,Suriname,1
15,2025-02-08 05:34:01.814547,CC-8016457680,48277.09,"Diaz, Flores and Cabrera",Compra,Liberia,1
16,2025-04-09 00:25:16.753748,CC-6718915219,28460.11,"Diaz, Diaz and Fernandez",Retiro,Portugal,0
17,2025-02-07 00:02:41.453167,CC-3822593235,36577.66,Gonzalez-Perez,Compra,Malawi,1
18,2025-04-09 04:56:00.479389,CC-7781305571,48473.30,Benitez-Maldonado,Compra,Micronesia,1
19,2025-01-22 23:27:43.545087,CC-2104650777,43927.69,"Vazquez, Muñoz and Moyano",Pago,Rwanda,1
20,2025-02-04 18:04:52.132300,CC-8898450907,11258.63,Olivera Ltd,Pago,Palau,1
21,2025-01-06 07:27:40.129959,CC-4994990391,41807.40,Vera PLC,Retiro,Hungría,1
22,2025-02-17 15:21:12.211403,CC-5492392021,47388.00,Rios LLC,Retiro,Panamá,1
23,2025-01-27 18:30:19.032163,CC-8624890765,49027.24,Fernandez Group,Compra,Senegal,1
24,2025-03-02 09:11:23.298971,CC-5924286674,22135.06,"Torres, Flores and Roldan",Pago,Nigeria,1
25,2025-02-01 10:57:24.928144,CC-1832785344,39301.42,Arias PLC,Retiro,Eslovenia,1
26,2025-02-04 18:59:01.356598,CC-2035875629,28127.88,Arias-Rodriguez,Pago,Palau,1
27,2025-01-13 06:08:33.337087,CC-3418286581,28073.72,Suarez LLC,Compra,Suiza,1
28,2025-02-12 16:31:48.996870,CC-9772732606,39563.95,Alvarez Inc,Retiro,Reino Unido de Gran Bretaña e Irlanda del Norte,1
29,2025-03-10 12:26:07.621992,CC-5050649568,6382.75,Lopez Inc,Compra,Camboya,1
30,2025-03-26 20:27:49.307639,CC-2997442446,28132.81,"Sosa, Perez and Acosta",Retiro,Benin,1
